"Data Source","World Development Indicators",

"Last Updated Date","2017-04-27",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Europe & Central Asia (excluding high income)","ECA","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.5158037441195","","","","","23.5498973426964","","","","","22.3297569503515","","","","","20.1998188302922","","","","","23.2752422521344","22.8426293245964","22.3322186061842","23.189065947055","24.0810379052067","24.8602440577997","",
"Europe & Central Asia","ECS","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.9605877518239","","","","","19.6400274526753","","","","","18.176697040237","","","","","16.7528727816771","","","","","18.2568068378873","17.9908692234644","17.6013488057906","18.2516478519756","18.8383792658049","19.3896774554239","",
"Ecuador","ECU","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.50688338","","","","","17.8827313","","","","","17.95547565","","","","","19.4304039","","","","","14.26156132","16.53896222","15.9236179","15.9900108","13.84004408","12.84155358","",
"Egypt, Arab Rep.","EGY","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75.77587916","","","","","72.35248824","","","","","73.29447544","","","","","79.56297504","","","","","90.4582509","89.14891705","88.57841114","95.04821592","99.19876877","104.6666533","",
"Euro area","EMU","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.3095346786854","","","","","14.5872217320283","","","","","13.5658959296507","","","","","12.9205419484065","","","","","13.0470549616889","12.9446098532657","12.8238204157297","13.3966002433192","13.7617563738203","14.2285024089479","",
"Eritrea","ERI","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44.47616108","","","","","44.13017097","","","","","43.55805505","","","","","38.54949375","","","","","42.00796735","43.41660755","45.59829566","43.84270296","43.81240103","43.49048059","",
"Spain","ESP","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.37338426","","","","","10.16179766","","","","","10.06732195","","","","","9.947261956","","","","","9.691342999","9.740315952","9.772324484","9.759581679","9.751187601","9.738283342","",
"Estonia","EST","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.69819801","","","","","8.981276938","","","","","8.065298029","","","","","8.007031131","","","","","8.205840132","7.881789587","7.1216599","8.187993959","8.70329887","9.404689495","",
"Ethiopia","ETH","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.08780964","","","","","35.92373597","","","","","35.4848492","","","","","31.19806258","","","","","34.1193404","36.1146896","37.46941846","36.60738002","36.40572759","35.73814656","",
"European Union","EUU","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.6015926886147","","","","","17.183842373991","","","","","15.356770244932","","","","","14.3213569086687","","","","","14.7183507488922","14.5609940234919","14.209348457737","14.6625389187178","14.9965158799632","15.3417963846062","",
"Fragile and conflict affected situations","FCS","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43.6684888408441","","","","","43.5810170660834","","","","","44.171519854915","","","","","41.4924063506489","","","","","44.2887402761781","45.219790561682","45.9887853570726","44.4852966428838","43.1558665085646","42.0440045591808","",
"Finland","FIN","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.839916905","","","","","7.314140165","","","","","7.092406007","","","","","6.912545794","","","","","7.056500764","6.85124207","6.584123308","6.901412513","7.116471102","7.379235597","",
"Fiji","FJI","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.686032249","","","","","8.818358913","","","","","8.833367028","","","","","9.481997387","","","","","6.879011374","6.74347482","7.059171837","7.618590682","7.249870664","7.870697243","",
"France","FRA","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.15232552","","","","","13.28749298","","","","","12.60229344","","","","","12.26129727","","","","","12.23372128","12.20212495","12.25035112","12.29085529","12.32044895","12.36533737","",
"Faroe Islands","FRO","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.45318073","","","","","9.838668232","","","","","9.559811103","","","","","9.508991778","","","","","7.210864185","6.951472534","7.040499092","7.777837344","7.267154147","8.058593607","",
"Gabon","GAB","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.52603511","","","","","39.8173673","","","","","41.80434931","","","","","34.92150088","","","","","34.87014621","36.30971917","36.69871355","36.73124941","39.13879174","39.86049558","",
